id,tournament_id,team_a_id,team_b_id,winner_id,played_at,created_by
744dcd97-5a25-417a-9184-812d650c35c6,131478aa-c8e2-4284-b299-888d51a1c40c,36e8168f-a256-4cb3-87fa-1c6c07338e1a,0d73a97f-e69d-4b99-a309-8d5c5c2d7ae7,36e8168f-a256-4cb3-87fa-1c6c07338e1a,2026-05-17 11:49:20.035116+00:00,association2
6f1418af-ebb6-4289-bfca-dacb67943589,405a9f29-5b9d-4a60-9441-6bbc46a54580,5ca3d175-5fdf-4083-86e2-81c55c0bf18f,9b96fc6b-9001-4c80-b3c2-af7eae1804dc,9b96fc6b-9001-4c80-b3c2-af7eae1804dc,2026-05-17 11:06:06.796527+00:00,association1
b158bf1e-bb6a-4ee3-b012-542026792392,0395bfa3-9cb4-4837-a415-9ce1e3b5d1c3,e005a0f7-ba20-4dbc-a702-f0165c298a13,9db5a136-77e1-4d93-bf2c-7a769f0fc801,9db5a136-77e1-4d93-bf2c-7a769f0fc801,2026-05-17 10:49:26.868616+00:00,association2
e74d7c90-8a62-4203-94f9-ff6f79bcb69a,4a13c267-3091-4c87-9144-57878eec35e1,f4dae623-b041-4761-bf64-b3ac773303c0,c041e8dd-3184-4ffd-822c-c01d2585e27b,c041e8dd-3184-4ffd-822c-c01d2585e27b,2026-05-17 09:59:26.047684+00:00,association2
46f34b4f-99d5-4d1d-bd9c-36ebf38587de,13c093d1-9916-4112-b586-3ed8f16dddec,1a249365-b0be-43f6-990b-6625bd7abbcd,c74557dc-ed4f-4e7a-812a-7c107a362480,1a249365-b0be-43f6-990b-6625bd7abbcd,2026-05-17 09:52:40.345136+00:00,association3
aaa7395f-ded2-4c82-be1f-6304b3437ce9,f80edcc2-4889-4f63-95db-1f35b75bee35,bbcce00a-df6c-4a25-b675-ce2e62237d35,11f32a4b-fba7-4b17-8e99-13f4f5522b5f,bbcce00a-df6c-4a25-b675-ce2e62237d35,2026-05-17 09:23:57.620427+00:00,association5
180ffa84-7dc4-4f11-841d-f2597026709d,37623a6e-1cc6-4265-8e91-7c6f32fd64e0,61ef2d4d-8c67-4a70-a0ea-847d24017440,33aec33e-2122-401e-9925-9153ed8603ac,33aec33e-2122-401e-9925-9153ed8603ac,2026-05-17 08:12:50.700160+00:00,association1
e59460ab-c1b9-4b4a-be95-19f43da45adf,8b276f18-19b3-4584-93df-d510fc84a4b4,1da91d2a-8de5-4d89-be81-d66e3787bdce,faa60c79-be2c-4716-aecd-f44fe751893f,faa60c79-be2c-4716-aecd-f44fe751893f,2026-05-17 07:46:21.286997+00:00,association5
49efbf15-dcf9-4862-ba03-184a0c442748,b15849b0-a8b3-4861-94a7-d683f610d7aa,e005a0f7-ba20-4dbc-a702-f0165c298a13,bbcce00a-df6c-4a25-b675-ce2e62237d35,bbcce00a-df6c-4a25-b675-ce2e62237d35,2026-05-17 07:19:43.123388+00:00,association1
094d8c4a-56b6-4841-bf46-be63f71c2d74,cb11b4c6-0bc0-4a82-8518-99313544705b,c74557dc-ed4f-4e7a-812a-7c107a362480,a36aed05-bd0f-4ac9-bf39-10f887426b6a,a36aed05-bd0f-4ac9-bf39-10f887426b6a,2026-05-17 05:09:55.140141+00:00,association5
b6309b43-cad6-4dcd-9b7a-61a280795f6c,2c1a75bf-6063-42c1-8bf3-82a1f32ed502,fdc00732-e8d9-4bef-8057-6d6b48e36611,2c2979b1-b854-4637-8c0d-30d24fd0181c,2c2979b1-b854-4637-8c0d-30d24fd0181c,2026-05-17 05:07:39.111193+00:00,association5
6f72c0bc-e7ed-4171-90bf-9e9c20772cbe,8b276f18-19b3-4584-93df-d510fc84a4b4,da78646e-5fc4-42ad-8275-213f84ad8b50,d9bf099d-3fcb-4b1c-a694-d6982690c5f2,d9bf099d-3fcb-4b1c-a694-d6982690c5f2,2026-05-17 04:45:30.424100+00:00,association1
